,0
440,복잡하지
441,않구
442,직관적이라
443,좋구요
444,새로운
445,기능이
446,있는데
447,그건
448,써보구
449,말씅트릴께요
450,다른
451,은행
452,프로그램은
453,정상적으로
454,v3키고
455,진행하는데
456,이거는
457,v3켜지지도
458,않으면서
459,꺼지네요
460,기업뱅킹인데
461,이렇게
462,오류
463,많으면
464,어떻게
465,쓰나요
466,사용하기
467,편한
468,같아요
469,기존의
470,앱보다
471,기능도
472,많아졌고
473,화면도
474,깔끔해진
475,같아요
476,소소한
477,이벤트도
478,진행하고
479,UI도
480,예전에
481,비해
482,많이
483,개선된거
484,같아요
485,좋습니다
486,UI도
487,편하게
488,구성되어
489,사용하기
490,어렵지
491,않네요
492,모바일어플로
493,처음
494,우리
495,회사
496,계좌도
497,조회하고
498,이체도
499,해보았는데
500,생각했던
501,것보다
502,편리하네요
503,이쁘게
504,만들어진것같아요
505,기업뱅킹은
506,흰화면만뜨고
507,개인뱅킹은
508,로딩
509,안돌고
510,인트로화면에서
511,가만히있어요
512,폰제트플립
513,안드버전
514,11
515,잘되던게
516,안됨
517,고치는척이라도
518,하세요
519,모든
520,기능이
521,사용하기
522,편리하고
523,한
524,눈에
525,들어와서
526,좋습니다
527,사용하기
528,편리하고
529,좋아요
530,외근
531,나가는
532,수고가
533,많이
534,줄것같아요
535,감사합니다~
536,쓰고있어요
537,기존
538,어플보다
539,훨씬
540,깔끔하고
541,좋아졌어요
542,편리하고
543,간편하게
544,사용하고
545,있습니다~
546,업데이트후에
547,UI도
548,깔끔하고
549,사용하기
550,편해졌네요
551,잘쓰겠습니다
552,생체인증
553,등록이
554,되질않아요
555,인증번호
556,입력후
557,추가인증
558,유의사항
559,화면에서
560,2분
561,숫자
562,사라지는
563,것만
564,반복해서
565,보이고
566,넘어가질
567,않습니다
568,갤s10
569,5g사용자입니다
570,아직
571,오픈
572,한지
573,얼마
574,안되었는데
575,이용가능
576,메뉴가
577,많아졌다고해서
578,기대해
579,봅니다
580,세상
581,이렇게
582,만든
583,어플은
584,처음
585,봄
586,성질
587,혈압
588,올린게한
589,어플.은행어플중
590,혈압올라ㅡㅡ
591,비밀번호
592,입력
593,안되고
594,느리고
595,은행에
596,방문하지
597,않고도
598,할수
599,있는
600,업무가
601,많아져서
602,좋습니다
603,생체인증과
604,서비스쪽
605,부가기능들은
606,사용하는데
607,소소한
608,재미가
609,있네요
610,이것이바로은행어플입니다
611,너무편하고좋네
612,기획하신분이
613,얼마나
614,노력했을지
615,고생이
616,여기까지
617,보이네요
618,이렇게
619,간편하게
620,업무
621,처리
622,할
623,수
624,있도록
625,변하다니
626,좋아연
627,☆
628,아이디
629,비번
630,입력
631,키보드
632,화면에
633,자판
634,글씨가
635,몇개만
636,보여요
637,대체적으로
638,만들었네요
639,부족한
640,부분은
641,채워주세요~
642,개인어플
643,이용자입니다
644,기업로그인은
645,이미
646,원뱅킹
647,아이디가
648,있으니
649,그거로
650,진행하라해서
651,들어갔으나
652,인증서가
653,안나오네요
654,우리은행
655,공동인증서
656,발급
657,받은게
658,있고
659,홈택스도
660,있는데요
661,사업자
662,신규
663,가입을
664,하려고
665,해도
666,인증서가
667,안나오고요
668,인증서가
669,개인범용이라
670,그런가싶어
671,앱
672,내에서
673,개인말고
674,기업
675,인증서를
676,발급하려고
677,해도
678,결국
679,로그인창이
680,뜨고
681,상담센터도
682,전화연결은
683,어렵고
684,이메일상담은
685,로그인
686,해야하고
687,당장
688,이용이
689,필요한
690,급한
691,사람들은
692,어떻게
693,해야합니까
694,은행창구가서
695,물어봐야하나요
696,디자인이
697,보기
698,편하고
699,유용한
700,기능들이
701,맘에
702,듭니다
703,전화번호
704,승인후
705,신분증
706,인증인데
707,번호를
708,못하지
709,않았는지
710,확인하라는
711,답변이
712,웃기네요
713,왜
714,평점이
715,반영이
716,안되죠
717,우리
718,앱을
719,쓰고
720,있는데
721,빠르고
722,편리합니다
723,사용하기
724,편리하게
725,개편되었네요
726,사용할게요
727,28일
728,오늘
729,업데이트
730,창이
731,떠서
732,실행하는데
733,설치가되지않고
734,대기상태로
735,지속되고
736,있습니다
737,깔끔하면서도
738,사용하기
739,편하게
740,개편되었네요~~
741,유용하게
742,쓰고있습니다
743,일괄송부기능
744,좋네요
745,기존
746,앱보다
747,쓰기
748,편하고
749,깔끔한게
750,보기도
751,좋네요
752,앱
753,기능탭의
754,위치나
755,배열이
756,사용자
757,중심으로
758,설계되었네요~
759,정말
760,유용하고
761,디자인도
762,이쁘게
763,잘만든거같습니다
764,사용하기
765,편리해지고
766,한
767,눈에
768,확
769,들어오네요
770,어플
771,사용해보니
772,사용자입장에서
773,깔끔하니
774,잘만들었네요
775,잘쓸게요
776,감사합니다
777,사용하기편하고
778,UI도
779,깔끔하네요
780,쓰겠습니다
781,며칠전
782,부터
783,앱
784,실행
785,되질않습니다
786,고객센터에
787,이야기
788,드렸는데
789,계속
790,안되네요
791,갤럭시
792,Z플립
793,기종이고
794,증상은
795,리뷰올려주신
796,다른
797,분들과
798,동일합니다
799,불편하네요
800,조치바랍니다
801,예쁘고
802,사용이
803,편리하네요
804,재능👍
805,대체적으로
806,Ui가
807,깔끔하네요
808,사용자
809,친화적이기도
810,하고요
811,편리하게
812,만들어져
813,감사합니다
814,사용하겠습니다
815,편리하고
816,아주좋아요~~~잘사용할께요
817,왜
818,실행할때마다
819,앱이
820,안
821,열리고
822,구글스토어로
823,넘어오는건지요
824,짜증납니다
825,아니
826,21세기에
827,입출금
828,푸시알림은
829,아직
830,개발을
831,못했다는게
832,충격적이어서
833,말이
834,안나옴
835,유료
836,sms이외에는
837,방법이
838,없다는
839,안내는
840,충격적임
841,기업은
842,우리은행
843,쓰지
844,말라는건가
845,당장
846,외주
847,전산개발사를
848,교체하든가
849,해야지
850,이거
851,개발하는게
852,뭐가
853,어렵다고
854,다른
855,시중
856,모든
857,1금융권은
858,당연히
859,제공하는
860,기능을
861,아직도
862,못만들고
863,있다는게
864,오히려
865,언제까지
866,만들겠다고
867,데드라인을
868,정해도
869,모자를
870,시점에
871,초보
872,개발사에
873,의뢰를
874,한건가
875,개인용은
876,몰라도
877,기업용은
878,ui를
